被引年份,科目,总篇数,出版年份,出版年份数据,1是错误数据
2013,   社会科学Ⅱ辑 ,67130篇,1999,6,0
2013,   基础科学 ,48947篇,1995,12,0
2013,   工程科技Ⅰ辑 ,89061篇,2000,251,0
2013,   工程科技Ⅱ辑 ,89061篇,2001,903,0
2013,   农业科技 ,37238篇,2001,498,0
2013,   医药卫生科技 ,37238篇,2000,60,0
2013,   哲学与人文科学 ,69191篇,2000,60,0
2013,   信息科技 ,132947篇,2001,768,0
2013,   经济与管理科学 ,132887篇,2001,843,0
2013,   社会科学Ⅰ辑 ,53735篇,2000,132,0
2013,   社会科学Ⅱ辑 ,67130篇,2000,165,0
2013,   基础科学 ,48947篇,1994,11,0
2013,   工程科技Ⅰ辑 ,89061篇,1994,4,0
2013,   工程科技Ⅱ辑 ,89061篇,1995,8,0
2013,   农业科技 ,37238篇,1995,1,0
2013,   医药卫生科技 ,37238篇,1994,4,0
2013,   哲学与人文科学 ,69191篇,1994,4,0
2013,   信息科技 ,132947篇,1995,4,0
2013,   经济与管理科学 ,132887篇,1990,1,0
2013,   社会科学Ⅰ辑 ,53735篇,1994,4,0
2013,   社会科学Ⅱ辑 ,67130篇,1993,2,0
2012,   基础科学 ,44421篇,2012,242,0
2012,   工程科技Ⅰ辑 ,77614篇,2013,2,1
2012,   工程科技Ⅱ辑 ,110010篇,2014,2,1
2012,   农业科技 ,33327篇,2012,125,0
2012,   医药卫生科技 ,29330篇,2012,96,0
2012,   哲学与人文科学 ,29330篇,2014,1,1
2012,   社会科学Ⅰ辑 ,59344篇,2012,157,0
2012,   信息科技 ,119011篇,2013,1,1
2012,   经济与管理科学 ,117445篇,2015,1,1
2012,   社会科学Ⅱ辑 ,56178篇,2013,5,1
2012,   基础科学 ,44421篇,2011,4152,0
2012,   工程科技Ⅰ辑 ,77614篇,2012,470,0
2012,   工程科技Ⅱ辑 ,110010篇,2013,1,1
2012,   农业科技 ,33327篇,2011,3285,0
2012,   医药卫生科技 ,29330篇,2011,3548,0
2012,   哲学与人文科学 ,29330篇,2012,227,0
2012,   社会科学Ⅰ辑 ,59344篇,2011,5838,0
2012,   信息科技 ,119011篇,2012,778,0
2012,   经济与管理科学 ,117445篇,2013,5,1
2012,   社会科学Ⅱ辑 ,56178篇,2012,230,0
2012,   基础科学 ,44421篇,2010,6106,0
2012,   工程科技Ⅰ辑 ,77614篇,2011,8370,0
2012,   工程科技Ⅱ辑 ,110010篇,2012,847,0
2012,   农业科技 ,33327篇,2010,4692,0
2012,   医药卫生科技 ,29330篇,2010,5038,0
2012,   哲学与人文科学 ,29330篇,2011,4984,0
2012,   社会科学Ⅰ辑 ,59344篇,2010,8039,0
2012,   信息科技 ,119011篇,2011,12513,0
2012,   经济与管理科学 ,117445篇,2012,673,0
2012,   社会科学Ⅱ辑 ,56178篇,2011,5686,0
2012,   基础科学 ,44421篇,2009,6110,0
2012,   工程科技Ⅰ辑 ,77614篇,2010,11495,0
2012,   工程科技Ⅱ辑 ,110010篇,2011,11242,0
2012,   农业科技 ,33327篇,2009,4490,0
2012,   医药卫生科技 ,29330篇,2009,4846,0
2012,   哲学与人文科学 ,29330篇,2010,8525,0
2012,   社会科学Ⅰ辑 ,59344篇,2009,6248,0
2012,   信息科技 ,119011篇,2010,18441,0
2012,   经济与管理科学 ,117445篇,2011,11876,0
2012,   社会科学Ⅱ辑 ,56178篇,2010,8302,0
2012,   基础科学 ,44421篇,2008,6993,0
2012,   工程科技Ⅰ辑 ,77614篇,2005,6070,0
2012,   工程科技Ⅱ辑 ,110010篇,2006,12837,0
2012,   农业科技 ,33327篇,2004,2034,0
2012,   医药卫生科技 ,29330篇,2004,1126,0
2012,   哲学与人文科学 ,29330篇,2005,4540,0
2012,   社会科学Ⅰ辑 ,59344篇,2004,2214,0
2012,   信息科技 ,119011篇,2005,8148,0
2012,   经济与管理科学 ,117445篇,2006,12774,0
2012,   社会科学Ⅱ辑 ,56178篇,2005,3882,0
2012,   基础科学 ,44421篇,2007,6542,0
2012,   工程科技Ⅰ辑 ,77614篇,2006,8802,0
2012,   工程科技Ⅱ辑 ,110010篇,2007,16453,0
2012,   农业科技 ,33327篇,2005,2875,0
2012,   医药卫生科技 ,29330篇,2005,1827,0
2012,   哲学与人文科学 ,29330篇,2006,6877,0
2012,   社会科学Ⅰ辑 ,59344篇,2005,3446,0
2012,   信息科技 ,119011篇,2006,13204,0
2012,   经济与管理科学 ,117445篇,2007,16841,0
2012,   社会科学Ⅱ辑 ,56178篇,2006,6582,0
2012,   基础科学 ,44421篇,2006,5469,0
2012,   工程科技Ⅰ辑 ,77614篇,2004,4375,0
2012,   工程科技Ⅱ辑 ,110010篇,2005,9044,0
2012,   农业科技 ,33327篇,2003,1396,0
2012,   医药卫生科技 ,29330篇,2003,699,0
2012,   哲学与人文科学 ,29330篇,2004,3413,0
2012,   社会科学Ⅰ辑 ,59344篇,2003,1261,0
2012,   信息科技 ,119011篇,2004,5346,0
2012,   经济与管理科学 ,117445篇,2005,8487,0
2012,   社会科学Ⅱ辑 ,56178篇,2004,2678,0
2012,   基础科学 ,44421篇,2005,3497,0
2012,   工程科技Ⅰ辑 ,77614篇,2007,10838,0
2012,   工程科技Ⅱ辑 ,110010篇,2008,15509,0
2012,   农业科技 ,33327篇,2006,3570,0
2012,   医药卫生科技 ,29330篇,2006,2930,0
2012,   哲学与人文科学 ,29330篇,2007,9247,0
2012,   社会科学Ⅰ辑 ,59344篇,2006,5136,0
2012,   信息科技 ,119011篇,2007,16913,0
2012,   经济与管理科学 ,117445篇,2008,18340,0
2012,   社会科学Ⅱ辑 ,56178篇,2007,8550,0
2012,   基础科学 ,44421篇,2004,2241,0
2012,   工程科技Ⅰ辑 ,77614篇,2008,11207,0
2012,   工程科技Ⅱ辑 ,110010篇,2009,15094,0
2012,   农业科技 ,33327篇,2007,4343,0
2012,   医药卫生科技 ,29330篇,2007,4134,0
2012,   哲学与人文科学 ,29330篇,2008,8704,0
2012,   社会科学Ⅰ辑 ,59344篇,2007,7232,0
2012,   信息科技 ,119011篇,2008,18415,0
2012,   经济与管理科学 ,117445篇,2009,17229,0
2012,   社会科学Ⅱ辑 ,56178篇,2008,8689,0
2012,   基础科学 ,44421篇,2003,1319,0
2012,   工程科技Ⅰ辑 ,77614篇,2009,10983,0
2012,   工程科技Ⅱ辑 ,110010篇,2010,15480,0
2012,   农业科技 ,33327篇,2008,4908,0
2012,   医药卫生科技 ,29330篇,2008,4351,0
2012,   哲学与人文科学 ,29330篇,2009,8273,0
2012,   社会科学Ⅰ辑 ,59344篇,2008,6974,0
2012,   信息科技 ,119011篇,2009,18865,0
2012,   经济与管理科学 ,117445篇,2010,18837,0
2012,   社会科学Ⅱ辑 ,56178篇,2009,8052,0
2012,   基础科学 ,44421篇,2002,910,0
2012,   工程科技Ⅰ辑 ,77614篇,2002,1562,0
2012,   工程科技Ⅱ辑 ,110010篇,2003,3578,0
2012,   农业科技 ,33327篇,2001,507,0
2012,   医药卫生科技 ,29330篇,2001,222,0
2012,   哲学与人文科学 ,29330篇,2002,1326,0
2012,   社会科学Ⅰ辑 ,59344篇,2001,375,0
2012,   信息科技 ,119011篇,2002,2101,0
2012,   经济与管理科学 ,117445篇,2003,3312,0
2012,   社会科学Ⅱ辑 ,56178篇,2002,1038,0
2012,   基础科学 ,44421篇,2001,535,0
2012,   工程科技Ⅰ辑 ,77614篇,2003,2384,0
2012,   工程科技Ⅱ辑 ,110010篇,2004,6387,0
2012,   农业科技 ,33327篇,2002,804,0
2012,   医药卫生科技 ,29330篇,2002,396,0
2012,   哲学与人文科学 ,29330篇,2003,2124,0
2012,   社会科学Ⅰ辑 ,59344篇,2002,744,0
2012,   信息科技 ,119011篇,2003,3008,0
2012,   经济与管理科学 ,117445篇,2004,5684,0
2012,   社会科学Ⅱ辑 ,56178篇,2003,1746,0
2012,   基础科学 ,44421篇,2000,199,0
2012,   工程科技Ⅰ辑 ,77614篇,2001,650,0
2012,   工程科技Ⅱ辑 ,110010篇,2002,2063,0
2012,   农业科技 ,33327篇,2000,248,0
2012,   医药卫生科技 ,29330篇,2000,66,0
2012,   哲学与人文科学 ,29330篇,2001,732,0
2012,   社会科学Ⅰ辑 ,59344篇,2000,148,0
2012,   信息科技 ,119011篇,2001,844,0
2012,   经济与管理科学 ,117445篇,2002,1952,0
2012,   社会科学Ⅱ辑 ,56178篇,2001,547,0
2012,   基础科学 ,44421篇,1999,29,0
2012,   工程科技Ⅰ辑 ,77614篇,1997,24,0
2012,   工程科技Ⅱ辑 ,110010篇,1998,16,0
2012,   农业科技 ,33327篇,1996,7,0
2012,   医药卫生科技 ,29330篇,1996,5,0
2012,   哲学与人文科学 ,29330篇,1997,8,0
2012,   社会科学Ⅰ辑 ,59344篇,1996,4,0
2012,   信息科技 ,119011篇,1997,16,0
2012,   经济与管理科学 ,117445篇,1998,10,0
2012,   社会科学Ⅱ辑 ,56178篇,1997,3,0
2012,   基础科学 ,44421篇,1998,11,0
2012,   工程科技Ⅰ辑 ,77614篇,1998,22,0
2012,   工程科技Ⅱ辑 ,110010篇,1999,53,0
2012,   农业科技 ,33327篇,1997,5,0
2012,   医药卫生科技 ,29330篇,1997,12,0
2012,   哲学与人文科学 ,29330篇,1998,8,0
2012,   社会科学Ⅰ辑 ,59344篇,1997,2,0
2012,   信息科技 ,119011篇,1998,32,0
2012,   经济与管理科学 ,117445篇,1999,26,0
2012,   社会科学Ⅱ辑 ,56178篇,1998,3,0
2012,   基础科学 ,44421篇,1997,15,0
2012,   工程科技Ⅰ辑 ,77614篇,1995,10,0
2012,   工程科技Ⅱ辑 ,110010篇,1996,8,0
2012,   农业科技 ,33327篇,1994,4,0
2012,   医药卫生科技 ,29330篇,1994,7,0
2012,   哲学与人文科学 ,29330篇,1994,2,0
2012,   社会科学Ⅰ辑 ,59344篇,1994,1,0
2012,   信息科技 ,119011篇,1995,4,0
2012,   经济与管理科学 ,117445篇,1996,3,0
2012,   社会科学Ⅱ辑 ,56178篇,,,0
2012,   基础科学 ,44421篇,1996,4,0
2012,   工程科技Ⅰ辑 ,77614篇,1996,10,0
2012,   工程科技Ⅱ辑 ,110010篇,1997,11,0
2012,   农业科技 ,33327篇,1995,2,0
2012,   医药卫生科技 ,29330篇,1995,7,0
2012,   哲学与人文科学 ,29330篇,1996,2,0
2012,   社会科学Ⅰ辑 ,59344篇,1995,3,0
2012,   信息科技 ,119011篇,1996,5,0
2012,   经济与管理科学 ,117445篇,1997,3,0
2012,   社会科学Ⅱ辑 ,56178篇,1995,1,0
2012,   基础科学 ,44421篇,1995,6,0
2012,   工程科技Ⅰ辑 ,77614篇,1999,29,0
2012,   工程科技Ⅱ辑 ,110010篇,2000,435,0
2012,   农业科技 ,33327篇,1998,12,0
2012,   医药卫生科技 ,29330篇,1998,8,0
2012,   哲学与人文科学 ,29330篇,1999,15,0
2012,   社会科学Ⅰ辑 ,59344篇,1998,4,0
2012,   信息科技 ,119011篇,1999,46,0
2012,   经济与管理科学 ,117445篇,2000,407,0
2012,   社会科学Ⅱ辑 ,56178篇,1999,6,0
2012,   基础科学 ,44421篇,1994,10,0
2012,   工程科技Ⅰ辑 ,77614篇,2000,283,0
2012,   工程科技Ⅱ辑 ,110010篇,2001,922,0
2012,   农业科技 ,33327篇,1999,18,0
2012,   医药卫生科技 ,29330篇,1999,7,0
2012,   哲学与人文科学 ,29330篇,2000,328,0
2012,   社会科学Ⅰ辑 ,59344篇,1999,7,0
2012,   信息科技 ,119011篇,2000,326,0
2012,   经济与管理科学 ,117445篇,2001,974,0
2012,   社会科学Ⅱ辑 ,56178篇,2000,178,0
2012,   基础科学 ,44421篇,1993,1,0
2012,   工程科技Ⅰ辑 ,77614篇,1994,2,0
2012,   工程科技Ⅱ辑 ,110010篇,1995,6,0
2012,   农业科技 ,33327篇,1989,1,0
2012,   医药卫生科技 ,29330篇,1993,2,0
2012,   哲学与人文科学 ,29330篇,1993,1,0
2012,   社会科学Ⅰ辑 ,59344篇,1993,2,0
2012,   信息科技 ,119011篇,1994,2,0
2012,   经济与管理科学 ,117445篇,1995,5,0
2012,   社会科学Ⅱ辑 ,56178篇,,,0
2011,   基础科学 ,92864篇,2013,2,1
2011,   工程科技Ⅰ辑 ,58621篇,2013,1,1
2011,   工程科技Ⅱ辑 ,58621篇,2013,1,1
2011,   农业科技 ,26233篇,2013,2,1
2011,   医药卫生科技 ,20359篇,2013,2,1
2011,   哲学与人文科学 ,20359篇,2012,3,1
2011,   社会科学Ⅰ辑 ,40164篇,2013,2,1
2011,   信息科技 ,94970篇,2011,632,0
2011,   经济与管理科学 ,92864篇,2013,4,1
2011,   社会科学Ⅱ辑 ,46014篇,2014,2,1
2011,   基础科学 ,92864篇,2012,3,1
2011,   工程科技Ⅰ辑 ,58621篇,2011,349,0
2011,   工程科技Ⅱ辑 ,58621篇,2012,7,1
2011,   农业科技 ,26233篇,2012,2,1
2011,   医药卫生科技 ,20359篇,2012,2,1
2011,   哲学与人文科学 ,20359篇,2011,156,0
2011,   社会科学Ⅰ辑 ,40164篇,2012,1,1
2011,   信息科技 ,94970篇,2010,10844,0
2011,   经济与管理科学 ,92864篇,2012,4,1
2011,   社会科学Ⅱ辑 ,46014篇,2013,2,1
2011,   基础科学 ,92864篇,2011,196,0
2011,   工程科技Ⅰ辑 ,58621篇,2010,6328,0
2011,   工程科技Ⅱ辑 ,58621篇,2011,587,0
2011,   农业科技 ,26233篇,2011,122,0
2011,   医药卫生科技 ,20359篇,2011,122,0
2011,   哲学与人文科学 ,20359篇,2010,3530,0
2011,   社会科学Ⅰ辑 ,40164篇,2011,237,0
2011,   信息科技 ,94970篇,2009,16643,0
2011,   经济与管理科学 ,92864篇,2011,572,0
2011,   社会科学Ⅱ辑 ,46014篇,2012,3,1
2011,   基础科学 ,92864篇,2010,3617,0
2011,   工程科技Ⅰ辑 ,58621篇,2009,8805,0
2011,   工程科技Ⅱ辑 ,58621篇,2010,8767,0
2011,   农业科技 ,26233篇,2010,2666,0
2011,   医药卫生科技 ,20359篇,2010,2666,0
2011,   哲学与人文科学 ,20359篇,2009,7045,0
2011,   社会科学Ⅰ辑 ,40164篇,2010,4351,0
2011,   信息科技 ,94970篇,2008,17474,0
2011,   经济与管理科学 ,92864篇,2010,9622,0
2011,   社会科学Ⅱ辑 ,46014篇,2011,205,0
2011,   基础科学 ,92864篇,2009,5466,0
2011,   工程科技Ⅰ辑 ,58621篇,2004,4191,0
2011,   工程科技Ⅱ辑 ,58621篇,2005,8500,0
2011,   农业科技 ,26233篇,2005,2689,0
2011,   医药卫生科技 ,20359篇,2005,2689,0
2011,   哲学与人文科学 ,20359篇,2004,3312,0
2011,   社会科学Ⅰ辑 ,40164篇,2005,3737,0
2011,   信息科技 ,94970篇,2003,2937,0
2011,   经济与管理科学 ,92864篇,2005,8499,0
2011,   社会科学Ⅱ辑 ,46014篇,2006,6603,0
2011,   基础科学 ,92864篇,2008,6462,0
2011,   工程科技Ⅰ辑 ,58621篇,2005,5841,0
2011,   工程科技Ⅱ辑 ,58621篇,2006,12045,0
2011,   农业科技 ,26233篇,2006,3408,0
2011,   医药卫生科技 ,20359篇,2006,3408,0
2011,   哲学与人文科学 ,20359篇,2005,4304,0
2011,   社会科学Ⅰ辑 ,40164篇,2006,5497,0
2011,   信息科技 ,94970篇,2004,5297,0
2011,   经济与管理科学 ,92864篇,2006,12625,0
2011,   社会科学Ⅱ辑 ,46014篇,2007,8600,0
2011,   基础科学 ,92864篇,2007,6227,0
2011,   工程科技Ⅰ辑 ,58621篇,2003,2298,0
2011,   工程科技Ⅱ辑 ,58621篇,2004,5961,0
2011,   农业科技 ,26233篇,2004,1966,0
2011,   医药卫生科技 ,20359篇,2004,1966,0
2011,   哲学与人文科学 ,20359篇,2003,2122,0
2011,   社会科学Ⅰ辑 ,40164篇,2004,2393,0
2011,   信息科技 ,94970篇,2002,2093,0
2011,   经济与管理科学 ,92864篇,2004,5619,0
2011,   社会科学Ⅱ辑 ,46014篇,2005,3995,0
2011,   基础科学 ,92864篇,2006,5402,0
2011,   工程科技Ⅰ辑 ,58621篇,2006,8337,0
2011,   工程科技Ⅱ辑 ,58621篇,2007,14996,0
2011,   农业科技 ,26233篇,2007,4122,0
2011,   医药卫生科技 ,20359篇,2007,4122,0
2011,   哲学与人文科学 ,20359篇,2006,6401,0
2011,   社会科学Ⅰ辑 ,40164篇,2007,7565,0
2011,   信息科技 ,94970篇,2005,8045,0
2011,   经济与管理科学 ,92864篇,2007,16239,0
2011,   社会科学Ⅱ辑 ,46014篇,2008,8733,0
2011,   基础科学 ,92864篇,2005,3406,0
2011,   工程科技Ⅰ辑 ,58621篇,2007,10010,0
2011,   工程科技Ⅱ辑 ,58621篇,2008,13847,0
2011,   农业科技 ,26233篇,2008,4491,0
2011,   医药卫生科技 ,20359篇,2008,4491,0
2011,   哲学与人文科学 ,20359篇,2007,8676,0
2011,   社会科学Ⅰ辑 ,40164篇,2008,7330,0
2011,   信息科技 ,94970篇,2006,13104,0
2011,   经济与管理科学 ,92864篇,2008,17328,0
2011,   社会科学Ⅱ辑 ,46014篇,2009,7517,0
2011,   基础科学 ,92864篇,2004,2184,0
2011,   工程科技Ⅰ辑 ,58621篇,2008,9879,0
2011,   工程科技Ⅱ辑 ,58621篇,2009,12294,0
2011,   农业科技 ,26233篇,2009,3809,0
2011,   医药卫生科技 ,20359篇,2009,3809,0
2011,   哲学与人文科学 ,20359篇,2008,8178,0
2011,   社会科学Ⅰ辑 ,40164篇,2009,6328,0
2011,   信息科技 ,94970篇,2007,16533,0
2011,   经济与管理科学 ,92864篇,2009,15382,0
2011,   社会科学Ⅱ辑 ,46014篇,2010,3950,0
2011,   基础科学 ,92864篇,2003,1312,0
2011,   工程科技Ⅰ辑 ,58621篇,2001,666,0
2011,   工程科技Ⅱ辑 ,58621篇,2002,2086,0
2011,   农业科技 ,26233篇,2002,769,0
2011,   医药卫生科技 ,20359篇,2002,769,0
2011,   哲学与人文科学 ,20359篇,2001,705,0
2011,   社会科学Ⅰ辑 ,40164篇,2002,747,0
2011,   信息科技 ,94970篇,2000,358,0
2011,   经济与管理科学 ,92864篇,2002,2023,0
2011,   社会科学Ⅱ辑 ,46014篇,2003,1853,0
2011,   基础科学 ,92864篇,2002,951,0
2011,   工程科技Ⅰ辑 ,58621篇,2002,1549,0
2011,   工程科技Ⅱ辑 ,58621篇,2003,3424,0
2011,   农业科技 ,26233篇,2003,1367,0
2011,   医药卫生科技 ,20359篇,2003,1367,0
2011,   哲学与人文科学 ,20359篇,2002,1293,0
2011,   社会科学Ⅰ辑 ,40164篇,2003,1380,0
2011,   信息科技 ,94970篇,2001,902,0
2011,   经济与管理科学 ,92864篇,2003,3377,0
2011,   社会科学Ⅱ辑 ,46014篇,2004,2746,0
2011,   基础科学 ,92864篇,2001,497,0
2011,   工程科技Ⅰ辑 ,58621篇,2000,266,0
2011,   工程科技Ⅱ辑 ,58621篇,2001,938,0
2011,   农业科技 ,26233篇,2001,522,0
2011,   医药卫生科技 ,20359篇,2001,522,0
2011,   哲学与人文科学 ,20359篇,2000,306,0
2011,   社会科学Ⅰ辑 ,40164篇,2001,396,0
2011,   信息科技 ,94970篇,1999,47,0
2011,   经济与管理科学 ,92864篇,2001,1048,0
2011,   社会科学Ⅱ辑 ,46014篇,2002,1033,0
2011,   基础科学 ,92864篇,2000,205,0
2011,   工程科技Ⅰ辑 ,58621篇,1996,7,0
2011,   工程科技Ⅱ辑 ,58621篇,1997,8,0
2011,   农业科技 ,26233篇,1997,4,0
2011,   医药卫生科技 ,20359篇,1997,4,0
2011,   哲学与人文科学 ,20359篇,1996,3,0
2011,   社会科学Ⅰ辑 ,40164篇,1997,5,0
2011,   信息科技 ,94970篇,1995,7,0
2011,   经济与管理科学 ,92864篇,1997,4,0
2011,   社会科学Ⅱ辑 ,46014篇,1998,2,0
2011,   基础科学 ,92864篇,1999,30,0
2011,   工程科技Ⅰ辑 ,58621篇,1997,20,0
2011,   工程科技Ⅱ辑 ,58621篇,1998,16,0
2011,   农业科技 ,26233篇,1998,12,0
2011,   医药卫生科技 ,20359篇,1998,12,0
2011,   哲学与人文科学 ,20359篇,1997,13,0
2011,   社会科学Ⅰ辑 ,40164篇,1998,6,0
2011,   信息科技 ,94970篇,1996,5,0
2011,   经济与管理科学 ,92864篇,1998,5,0
2011,   社会科学Ⅱ辑 ,46014篇,1999,7,0
2011,   基础科学 ,92864篇,1998,18,0
2011,   工程科技Ⅰ辑 ,58621篇,1994,1,0
2011,   工程科技Ⅱ辑 ,58621篇,1995,11,0
2011,   农业科技 ,26233篇,1995,3,0
2011,   医药卫生科技 ,20359篇,1995,3,0
2011,   哲学与人文科学 ,20359篇,1994,1,0
2011,   社会科学Ⅰ辑 ,40164篇,1995,3,0
2011,   信息科技 ,94970篇,1993,1,0
2011,   经济与管理科学 ,92864篇,1995,4,0
2011,   社会科学Ⅱ辑 ,46014篇,1995,1,0
2011,   基础科学 ,92864篇,1997,10,0
2011,   工程科技Ⅰ辑 ,58621篇,1995,9,0
2011,   工程科技Ⅱ辑 ,58621篇,1996,8,0
2011,   农业科技 ,26233篇,1996,5,0
2011,   医药卫生科技 ,20359篇,1996,5,0
2011,   哲学与人文科学 ,20359篇,1995,4,0
2011,   社会科学Ⅰ辑 ,40164篇,1996,4,0
2011,   信息科技 ,94970篇,1994,2,0
2011,   经济与管理科学 ,92864篇,1996,1,0
2011,   社会科学Ⅱ辑 ,46014篇,1997,3,0
2011,   基础科学 ,92864篇,1996,9,0
2011,   工程科技Ⅰ辑 ,58621篇,1998,21,0
2011,   工程科技Ⅱ辑 ,58621篇,1999,58,0
2011,   农业科技 ,26233篇,1999,16,0
2011,   医药卫生科技 ,20359篇,1999,16,0
2011,   哲学与人文科学 ,20359篇,1998,10,0
2011,   社会科学Ⅰ辑 ,40164篇,1999,9,0
2011,   信息科技 ,94970篇,1997,8,0
2011,   经济与管理科学 ,92864篇,1999,29,0
2011,   社会科学Ⅱ辑 ,46014篇,2000,197,0
2011,   基础科学 ,92864篇,1995,9,0
2011,   工程科技Ⅰ辑 ,58621篇,1999,29,0
2011,   工程科技Ⅱ辑 ,58621篇,2000,436,0
2011,   农业科技 ,26233篇,2000,251,0
2011,   医药卫生科技 ,20359篇,2000,251,0
