ID,被引年,科目,全部文献,被引类别,被引数量
1,2009,   基础科学 ,18172篇,被核心期刊引用,10277
2,2009,   工程科技Ⅰ辑 ,27384篇,被核心期刊引用,17105
3,2009,   工程科技Ⅱ辑 ,44933篇,被核心期刊引用,25187
4,2009,   农业科技 ,44933篇,被核心期刊引用,25187
5,2009,   医药卫生科技 ,44933篇,被核心期刊引用,25187
6,2009,   社会科学Ⅰ辑 ,18562篇,被核心期刊引用,3714
7,2009,   信息科技 ,49801篇,被核心期刊引用,18965
8,2009,   经济与管理科学 ,46259篇,被核心期刊引用,16676
9,2010,   基础科学 ,28101篇,被核心期刊引用,15130
10,2010,   工程科技Ⅰ辑 ,44104篇,被核心期刊引用,25630
11,2010,   工程科技Ⅱ辑 ,66104篇,被核心期刊引用,34813
12,2010,   农业科技 ,21808篇,被核心期刊引用,15282
13,2010,   医药卫生科技 ,13966篇,被核心期刊引用,5435
14,2010,   社会科学Ⅰ辑 ,29196篇,被核心期刊引用,5233
15,2010,   信息科技 ,73985篇,被核心期刊引用,25994
16,2010,   经济与管理科学 ,72043篇,被核心期刊引用,23863
17,2011,   基础科学 ,92864篇,被核心期刊引用,29122
18,2011,   工程科技Ⅰ辑 ,58621篇,被核心期刊引用,32931
19,2011,   工程科技Ⅱ辑 ,58621篇,被核心期刊引用,32931
20,2011,   农业科技 ,26233篇,被核心期刊引用,18207
21,2011,   医药卫生科技 ,20359篇,被核心期刊引用,7747
22,2011,   哲学与人文科学 ,20359篇,被核心期刊引用,7747
23,2011,   社会科学Ⅰ辑 ,40164篇,被核心期刊引用,6592
24,2011,   信息科技 ,94970篇,被核心期刊引用,32017
25,2011,   经济与管理科学 ,92864篇,被核心期刊引用,29122
26,2012,   基础科学 ,44421篇,被核心期刊引用,22124
27,2012,   工程科技Ⅰ辑 ,77614篇,被核心期刊引用,41527
28,2012,   工程科技Ⅱ辑 ,110010篇,被核心期刊引用,52134
29,2012,   农业科技 ,33327篇,被核心期刊引用,22413
30,2012,   医药卫生科技 ,29330篇,被核心期刊引用,10526
31,2012,   哲学与人文科学 ,29330篇,被核心期刊引用,10526
32,2012,   社会科学Ⅰ辑 ,59344篇,被核心期刊引用,13709
33,2012,   信息科技 ,119011篇,被核心期刊引用,38004
34,2012,   经济与管理科学 ,117445篇,被核心期刊引用,33940
35,2013,   基础科学 ,48947篇,被核心期刊引用,24374
36,2013,   工程科技Ⅰ辑 ,89061篇,被核心期刊引用,47413
37,2013,   工程科技Ⅱ辑 ,89061篇,被核心期刊引用,47413
38,2013,   农业科技 ,37238篇,被核心期刊引用,24632
39,2013,   医药卫生科技 ,37238篇,被核心期刊引用,24632
40,2013,   哲学与人文科学 ,69191篇,被核心期刊引用,15460
41,2013,   信息科技 ,132947篇,被核心期刊引用,41709
42,2013,   经济与管理科学 ,132887篇,被核心期刊引用,36985
43,2014,   基础科学 ,56819篇,被核心期刊引用,27860
44,2014,   工程科技Ⅰ辑 ,106664篇,被核心期刊引用,55453
45,2014,   工程科技Ⅱ辑 ,149897篇,被核心期刊引用,66930
46,2014,   农业科技 ,44670篇,被核心期刊引用,28932
47,2014,   医药卫生科技 ,48550篇,被核心期刊引用,16741
48,2014,   哲学与人文科学 ,48550篇,被核心期刊引用,16741
49,2014,   社会科学Ⅰ辑 ,79066篇,被核心期刊引用,16876
50,2014,   信息科技 ,153374篇,被核心期刊引用,46660
51,2014,   经济与管理科学 ,149797篇,被核心期刊引用,40423
52,2015,   基础科学 ,65543篇,被核心期刊引用,30883
53,2015,   工程科技Ⅰ辑 ,130394篇,被核心期刊引用,64406
54,2015,   工程科技Ⅱ辑 ,176350篇,被核心期刊引用,74195
55,2015,   农业科技 ,55482篇,被核心期刊引用,34123
56,2015,   医药卫生科技 ,65215篇,被核心期刊引用,21036
57,2015,   哲学与人文科学 ,92786篇,被核心期刊引用,17908
58,2015,   信息科技 ,168256篇,被核心期刊引用,49499
59,2015,   经济与管理科学 ,165738篇,被核心期刊引用,42309
60,2016,   基础科学 ,74965篇,被核心期刊引用,33823
61,2016,   工程科技Ⅰ辑 ,152903篇,被核心期刊引用,71078
62,2016,   工程科技Ⅱ辑 ,203268篇,被核心期刊引用,79371
63,2016,   农业科技 ,65171篇,被核心期刊引用,38154
64,2016,   医药卫生科技 ,82594篇,被核心期刊引用,24922
65,2016,   哲学与人文科学 ,111926篇,被核心期刊引用,19358
66,2016,   信息科技 ,186994篇,被核心期刊引用,51930
67,2016,   经济与管理科学 ,185613篇,被核心期刊引用,43868
68,2017,   基础科学 ,80138篇,被核心期刊引用,34245
69,2017,   工程科技Ⅰ辑 ,166588篇,被核心期刊引用,73369
70,2017,   工程科技Ⅱ辑 ,223606篇,被核心期刊引用,79971
71,2017,   农业科技 ,68734篇,被核心期刊引用,38516
72,2017,   医药卫生科技 ,94618篇,被核心期刊引用,26248
73,2017,   哲学与人文科学 ,126938篇,被核心期刊引用,19761
74,2017,   社会科学Ⅰ辑 ,79582篇,被核心期刊引用,10185
75,2017,   信息科技 ,192703篇,被核心期刊引用,50554
76,2017,   经济与管理科学 ,190236篇,被核心期刊引用,41763
77,2018,   基础科学 ,77065篇,被核心期刊引用,26484
78,2018,   工程科技Ⅰ辑 ,162051篇,被核心期刊引用,56101
79,2018,   工程科技Ⅱ辑 ,216395篇,被核心期刊引用,64299
80,2018,   农业科技 ,70178篇,被核心期刊引用,30178
81,2018,   医药卫生科技 ,95157篇,被核心期刊引用,17856
82,2018,   哲学与人文科学 ,123240篇,被核心期刊引用,16135
83,2018,   信息科技 ,174519篇,被核心期刊引用,38250
84,2018,   经济与管理科学 ,171798篇,被核心期刊引用,31644
85,2009,   哲学与人文科学 ,19018篇,被核心期刊引用,5788
86,2009,   社会科学Ⅱ辑 ,21323篇,被核心期刊引用,7839
87,2010,   哲学与人文科学 ,32867篇,被核心期刊引用,8844
88,2010,   社会科学Ⅱ辑 ,32525篇,被核心期刊引用,10953
89,2011,   社会科学Ⅱ辑 ,46014篇,被核心期刊引用,13804
90,2012,   社会科学Ⅱ辑 ,56178篇,被核心期刊引用,16021
91,2013,   社会科学Ⅰ辑 ,53735篇,被核心期刊引用,8378
92,2013,   社会科学Ⅱ辑 ,67130篇,被核心期刊引用,17654
93,2014,   社会科学Ⅱ辑 ,81324篇,被核心期刊引用,19636
94,2015,   社会科学Ⅰ辑 ,66871篇,被核心期刊引用,9906
95,2015,   社会科学Ⅱ辑 ,97550篇,被核心期刊引用,21440
96,2016,   社会科学Ⅰ辑 ,76691篇,被核心期刊引用,10453
97,2016,   社会科学Ⅱ辑 ,115100篇,被核心期刊引用,22668
98,2017,   社会科学Ⅱ辑 ,130856篇,被核心期刊引用,22714
99,2018,   社会科学Ⅰ辑 ,69907篇,被核心期刊引用,7365
100,2018,   社会科学Ⅱ辑 ,132763篇,被核心期刊引用,19084
101,2009,   基础科学 ,18172篇,被SCI刊引用,329
102,2009,   工程科技Ⅰ辑 ,27384篇,被SCI刊引用,326
103,2009,   工程科技Ⅱ辑 ,44933篇,被SCI刊引用,139
104,2009,   农业科技 ,44933篇,被SCI刊引用,139
105,2009,   医药卫生科技 ,44933篇,被SCI刊引用,139
106,2009,   社会科学Ⅰ辑 ,18562篇,被SCI刊引用,1
107,2009,   信息科技 ,49801篇,被SCI刊引用,162
108,2009,   经济与管理科学 ,46259篇,被SCI刊引用,8
109,2010,   基础科学 ,28101篇,被SCI刊引用,468
110,2010,   工程科技Ⅰ辑 ,44104篇,被SCI刊引用,450
111,2010,   工程科技Ⅱ辑 ,66104篇,被SCI刊引用,169
112,2010,   农业科技 ,21808篇,被SCI刊引用,16
113,2010,   医药卫生科技 ,13966篇,被SCI刊引用,27
114,2010,   社会科学Ⅰ辑 ,29196篇,被SCI刊引用,1
115,2010,   信息科技 ,73985篇,被SCI刊引用,184
116,2010,   经济与管理科学 ,72043篇,被SCI刊引用,6
117,2011,   基础科学 ,92864篇,被SCI刊引用,7
118,2011,   工程科技Ⅰ辑 ,58621篇,被SCI刊引用,553
119,2011,   工程科技Ⅱ辑 ,58621篇,被SCI刊引用,553
120,2011,   农业科技 ,26233篇,被SCI刊引用,22
121,2011,   医药卫生科技 ,20359篇,被SCI刊引用,27
122,2011,   哲学与人文科学 ,20359篇,被SCI刊引用,27
123,2011,   社会科学Ⅰ辑 ,40164篇,被SCI刊引用,1
124,2011,   信息科技 ,94970篇,被SCI刊引用,193
125,2011,   经济与管理科学 ,92864篇,被SCI刊引用,7
126,2012,   基础科学 ,44421篇,被SCI刊引用,698
127,2012,   工程科技Ⅰ辑 ,77614篇,被SCI刊引用,688
128,2012,   工程科技Ⅱ辑 ,110010篇,被SCI刊引用,196
129,2012,   农业科技 ,33327篇,被SCI刊引用,30
130,2012,   医药卫生科技 ,29330篇,被SCI刊引用,24
131,2012,   哲学与人文科学 ,29330篇,被SCI刊引用,24
132,2012,   社会科学Ⅰ辑 ,59344篇,被SCI刊引用,1
133,2012,   信息科技 ,119011篇,被SCI刊引用,216
134,2012,   经济与管理科学 ,117445篇,被SCI刊引用,5
135,2013,   基础科学 ,48947篇,被SCI刊引用,775
136,2013,   工程科技Ⅰ辑 ,89061篇,被SCI刊引用,754
137,2013,   工程科技Ⅱ辑 ,89061篇,被SCI刊引用,754
138,2013,   农业科技 ,37238篇,被SCI刊引用,26
139,2013,   医药卫生科技 ,37238篇,被SCI刊引用,26
140,2013,   哲学与人文科学 ,69191篇,被SCI刊引用,1
141,2013,   信息科技 ,132947篇,被SCI刊引用,200
142,2013,   经济与管理科学 ,132887篇,被SCI刊引用,4
143,2014,   基础科学 ,56819篇,被SCI刊引用,909
144,2014,   工程科技Ⅰ辑 ,106664篇,被SCI刊引用,845
145,2014,   工程科技Ⅱ辑 ,149897篇,被SCI刊引用,200
146,2014,   农业科技 ,44670篇,被SCI刊引用,23
147,2014,   医药卫生科技 ,48550篇,被SCI刊引用,29
148,2014,   哲学与人文科学 ,48550篇,被SCI刊引用,29
149,2014,   社会科学Ⅰ辑 ,79066篇,被SCI刊引用,1
150,2014,   信息科技 ,153374篇,被SCI刊引用,216
151,2014,   经济与管理科学 ,149797篇,被SCI刊引用,8
152,2015,   基础科学 ,65543篇,被SCI刊引用,1008
153,2015,   工程科技Ⅰ辑 ,130394篇,被SCI刊引用,932
154,2015,   工程科技Ⅱ辑 ,176350篇,被SCI刊引用,212
155,2015,   农业科技 ,55482篇,被SCI刊引用,30
156,2015,   医药卫生科技 ,65215篇,被SCI刊引用,36
157,2015,   哲学与人文科学 ,92786篇,被SCI刊引用,1
158,2015,   信息科技 ,168256篇,被SCI刊引用,217
159,2015,   经济与管理科学 ,165738篇,被SCI刊引用,9
160,2016,   基础科学 ,74965篇,被SCI刊引用,1073
161,2016,   工程科技Ⅰ辑 ,152903篇,被SCI刊引用,977
162,2016,   工程科技Ⅱ辑 ,203268篇,被SCI刊引用,230
163,2016,   农业科技 ,65171篇,被SCI刊引用,35
164,2016,   医药卫生科技 ,82594篇,被SCI刊引用,50
165,2016,   哲学与人文科学 ,111926篇,被SCI刊引用,2
166,2016,   信息科技 ,186994篇,被SCI刊引用,219
167,2016,   经济与管理科学 ,185613篇,被SCI刊引用,6
168,2017,   基础科学 ,80138篇,被SCI刊引用,1082
169,2017,   工程科技Ⅰ辑 ,166588篇,被SCI刊引用,991
170,2017,   工程科技Ⅱ辑 ,223606篇,被SCI刊引用,243
171,2017,   农业科技 ,68734篇,被SCI刊引用,37
172,2017,   医药卫生科技 ,94618篇,被SCI刊引用,64
173,2017,   哲学与人文科学 ,126938篇,被SCI刊引用,1
174,2017,   社会科学Ⅰ辑 ,79582篇,被SCI刊引用,1
175,2017,   信息科技 ,192703篇,被SCI刊引用,225
176,2017,   经济与管理科学 ,190236篇,被SCI刊引用,4
177,2018,   基础科学 ,77065篇,被SCI刊引用,940
178,2018,   工程科技Ⅰ辑 ,162051篇,被SCI刊引用,784
179,2018,   工程科技Ⅱ辑 ,216395篇,被SCI刊引用,185
180,2018,   农业科技 ,70178篇,被SCI刊引用,28
181,2018,   医药卫生科技 ,95157篇,被SCI刊引用,35
182,2018,   哲学与人文科学 ,123240篇,被SCI刊引用,2
183,2018,   信息科技 ,174519篇,被SCI刊引用,193
184,2018,   经济与管理科学 ,171798篇,被SCI刊引用,4
185,2009,   哲学与人文科学 ,19018篇,,
186,2009,   社会科学Ⅱ辑 ,21323篇,,
187,2010,   哲学与人文科学 ,32867篇,,
188,2010,   社会科学Ⅱ辑 ,32525篇,,
189,2011,   社会科学Ⅱ辑 ,46014篇,,
190,2012,   社会科学Ⅱ辑 ,56178篇,,
191,2013,   社会科学Ⅰ辑 ,53735篇,,
192,2013,   社会科学Ⅱ辑 ,67130篇,,
193,2014,   社会科学Ⅱ辑 ,81324篇,,
194,2015,   社会科学Ⅰ辑 ,66871篇,,
195,2015,   社会科学Ⅱ辑 ,97550篇,,
196,2016,   社会科学Ⅰ辑 ,76691篇,,
197,2016,   社会科学Ⅱ辑 ,115100篇,,
198,2017,   社会科学Ⅱ辑 ,130856篇,,
199,2018,   社会科学Ⅰ辑 ,69907篇,,
200,2018,   社会科学Ⅱ辑 ,132763篇,,
201,2009,   基础科学 ,18172篇,被EI刊引用,3015
202,2009,   工程科技Ⅰ辑 ,27384篇,被EI刊引用,5332
203,2009,   工程科技Ⅱ辑 ,44933篇,被EI刊引用,10953
204,2009,   农业科技 ,44933篇,被EI刊引用,10953
205,2009,   医药卫生科技 ,44933篇,被EI刊引用,10953
206,2009,   社会科学Ⅰ辑 ,18562篇,被EI刊引用,24
207,2009,   信息科技 ,49801篇,被EI刊引用,5138
208,2009,   经济与管理科学 ,46259篇,被EI刊引用,918
209,2010,   基础科学 ,28101篇,被EI刊引用,4241
210,2010,   工程科技Ⅰ辑 ,44104篇,被EI刊引用,7763
211,2010,   工程科技Ⅱ辑 ,66104篇,被EI刊引用,14622
212,2010,   农业科技 ,21808篇,被EI刊引用,1536
213,2010,   医药卫生科技 ,13966篇,被EI刊引用,393
214,2010,   社会科学Ⅰ辑 ,29196篇,被EI刊引用,40
215,2010,   信息科技 ,73985篇,被EI刊引用,6683
216,2010,   经济与管理科学 ,72043篇,被EI刊引用,1206
217,2011,   基础科学 ,92864篇,被EI刊引用,1450
218,2011,   工程科技Ⅰ辑 ,58621篇,被EI刊引用,9792
219,2011,   工程科技Ⅱ辑 ,58621篇,被EI刊引用,9792
220,2011,   农业科技 ,26233篇,被EI刊引用,1843
221,2011,   医药卫生科技 ,20359篇,被EI刊引用,508
222,2011,   哲学与人文科学 ,20359篇,被EI刊引用,508
223,2011,   社会科学Ⅰ辑 ,40164篇,被EI刊引用,43
224,2011,   信息科技 ,94970篇,被EI刊引用,8042
225,2011,   经济与管理科学 ,92864篇,被EI刊引用,1450
226,2012,   基础科学 ,44421篇,被EI刊引用,6185
227,2012,   工程科技Ⅰ辑 ,77614篇,被EI刊引用,12043
228,2012,   工程科技Ⅱ辑 ,110010篇,被EI刊引用,20989
229,2012,   农业科技 ,33327篇,被EI刊引用,2253
230,2012,   医药卫生科技 ,29330篇,被EI刊引用,612
231,2012,   哲学与人文科学 ,29330篇,被EI刊引用,612
232,2012,   社会科学Ⅰ辑 ,59344篇,被EI刊引用,78
233,2012,   信息科技 ,119011篇,被EI刊引用,9334
234,2012,   经济与管理科学 ,117445篇,被EI刊引用,1694
235,2013,   基础科学 ,48947篇,被EI刊引用,6902
236,2013,   工程科技Ⅰ辑 ,89061篇,被EI刊引用,13950
237,2013,   工程科技Ⅱ辑 ,89061篇,被EI刊引用,13950
238,2013,   农业科技 ,37238篇,被EI刊引用,2538
239,2013,   医药卫生科技 ,37238篇,被EI刊引用,2538
240,2013,   哲学与人文科学 ,69191篇,被EI刊引用,96
241,2013,   信息科技 ,132947篇,被EI刊引用,10087
242,2013,   经济与管理科学 ,132887篇,被EI刊引用,1857
243,2014,   基础科学 ,56819篇,被EI刊引用,8001
244,2014,   工程科技Ⅰ辑 ,106664篇,被EI刊引用,16301
245,2014,   工程科技Ⅱ辑 ,149897篇,被EI刊引用,26225
246,2014,   农业科技 ,44670篇,被EI刊引用,3080
247,2014,   医药卫生科技 ,48550篇,被EI刊引用,857
248,2014,   哲学与人文科学 ,48550篇,被EI刊引用,857
249,2014,   社会科学Ⅰ辑 ,79066篇,被EI刊引用,85
250,2014,   信息科技 ,153374篇,被EI刊引用,11142
251,2014,   经济与管理科学 ,149797篇,被EI刊引用,2020
252,2015,   基础科学 ,65543篇,被EI刊引用,8944
253,2015,   工程科技Ⅰ辑 ,130394篇,被EI刊引用,19002
254,2015,   工程科技Ⅱ辑 ,176350篇,被EI刊引用,28945
255,2015,   农业科技 ,55482篇,被EI刊引用,3708
256,2015,   医药卫生科技 ,65215篇,被EI刊引用,1018
257,2015,   哲学与人文科学 ,92786篇,被EI刊引用,110
258,2015,   信息科技 ,168256篇,被EI刊引用,11913
